id,label,adresse,city,dep,cp,type,x,y,localisation,appariement,score
0010116W,Ecole primaire Prégnin,61 rue du Fierney,Saint-Genis-Pouilly,1,1630,primaire,46.266838624857314,6.037470248860145,Numéro de rue,need_update,
3021,HALTE GARDERIE LA ROULINOTTE,1 Place ST ANTOINE - 1630 PERON,Péron,1,1630,crèche,46.1893597554173,5.92645356000318,,need_update,
3060,MA COLIN MAILLARD ST GENIS POU,25 Rue LUCIE AUBRAC 1630 SAINT-GENIS-POUILLY,Saint-Genis-Pouilly,1,1630,crèche,46.2509282554593,6.02735364000324,,need_update,
3061,MULTI AC LES PITCHOUNS ST GENI,40 Rue JULES FERRY 1630 SAINT-GENIS-POUILLY,Saint-Genis-Pouilly,1,1630,crèche,46.2439873555513,6.02583876000323,,need_update,
3062,MULTI ACCUEIL FRIMOUSSE RAPC,39 Grand rue 1640 SAINT-JEAN-LE-VIEUX,Saint-Jean-le-Vieux,1,1640,crèche,46.0278663960598,5.38755660000289,,need_update,
3234,MULTI ACCUEIL POMME D API CHAV,Village LE VILLAGE 1660 CHAVEYRIAT,Chaveyriat,1,1660,crèche,46.1980825035326,5.05815192000271,,need_update,
3251,CRECHE FAMILIALE MIRIBEL,176 Allée Pierre PERRET 1700 MIRIBEL,Miribel,1,1700,crèche,45.8663030602204,4.91340168000264,,need_update,
0010280Z,Ecole primaire Jean de La Fontaine,1451 rue de la Dombes,Miribel,1,1700,primaire,45.87016033094795,4.921140105535644,Numéro de rue,need_update,
3252,HG RIBAMBELLE MIRIBEL,10 Rue de la Paix 1700 MIRIBEL,Miribel,1,1700,crèche,45.8282766045389,4.97038320000267,,need_update,
0010075B,Lycée général et technologique privé Saint Joseph,101 rue HENRI GROBON,Miribel,1,1700,secondaire,45.82501963030465,4.950830610483265,Numéro de rue,need_update,
3253,MULTI ACCUEIL  MIRIBEL,176 Allée Pierre PERRET 1700 MIRIBEL,Miribel,1,1700,crèche,45.8663030602204,4.91340168000264,,need_update,
3066,MULTI ACCUEIL BERCEAU DES ILES,1 Chemin DE THIL 1700 SAINT-MAURICE-DE-BEYNOST,Saint-Maurice-de-Beynost,1,1700,crèche,45.823954757911,4.98906540000268,,need_update,
3209,MULTI ACCUEIL DE BEYNOST,421 Rue DES THERMES 1700 BEYNOST,Beynost,1,1700,crèche,45.837492646938,4.99797576000268,,need_update,
3065,MULTI ACCUEIL F DOLTO ST MAURI,Place CHARLES de GAULLE 1700 SAINT-MAURICE-DE-BEYNOST,Saint-Maurice-de-Beynost,1,1700,crèche,45.8292817595675,4.97851920000267,,need_update,
3070,MA LES CALINOUS THOIRY LLPE,288 Rue DE CREUX 1710 THOIRY,Thoiry,1,1710,crèche,46.2298841432372,5.98556268000321,,need_update,
8390,MA Les P'tits Pieds Dans L'eau,Rue Romans Petit 1750 ST LAURENT S/ SAONE,Saint-Laurent,1,1750,crèche,46.3058206408596,4.8427822800026,,need_update,
3050,MULTI ACCUEIL DE REPLONGES,70 Impasse DE LA CROIX DU CREUX 1750 REPLONGES,Replonges,1,1750,crèche,46.3127661461405,4.87611036000262,,need_update,
0010041P,Collège Vaugelas,19 avenue DOCTEUR BERTHIER,Meximieux,1,1800,secondaire,45.90754181382036,5.188640403667234,Numéro de rue,need_update,
3249,MULTI ACCUEIL A PETITS PAS,8 Rue DE LA GARE 1800 MEXIMIEUX,Meximieux,1,1800,crèche,45.9026180696694,5.19349356000279,,need_update,
0010054D,Section d'enseignement général et professionnel adapté du Collège Vaugelas,19 avenue DOCTEUR BERTHIER,Meximieux,1,1800,,45.90754181382036,5.188640403667234,Numéro de rue,need_update,
0010089S,Collège privé Saint Pierre,261 route du Collège,Marboz,1,1851,secondaire,46.34114628974638,5.259560023313107,Numéro de rue,need_update,
3025,MULTI ACCUEIL LOGIS  MARMOUSET,69 Rue J. Monnet 1960 PERONNAS,Péronnas,1,1960,crèche,46.1790556697584,5.20119396000279,,need_update,
0260049M,Collège Jean Zay,Allée RAYMOND MIAS,Valence,26,26000,secondaire,44.935948417379606,4.900380073332593,Numéro de rue,need_update,
1947,CRECHE MAURICE RAVEL VALENCE,Rue MAURICE RAVEL 26000 VALENCE,Valence,26,26000,crèche,44.9334872988543,4.92047388000264,,need_update,
0261494H,Ecole primaire privée IQRA,Rue LUDWIG VAN BEETHOVEN,Valence,26,26000,primaire,44.933615389198444,4.924169517855132,Numéro de rue,need_update,
1952,MA LES GRABOUILLES LAUTAGNE,Avenue des Langories 26000 VALENCE,Valence,26,26000,crèche,44.9045950349801,4.90546872000263,,need_update,
1951,MA LES GRABOUILLES SUD VALENCE,Avenue de la Condamine 26000 VALENCE,Valence,26,26000,crèche,44.9006634611786,4.87224900000262,,need_update,
1946,MA MAURICE RAVEL VALENCE,Place MAURICE RAVEL 26000 VALENCE,Valence,26,26000,crèche,44.9334872988543,4.92047388000264,,need_update,
0260599K,Ecole maternelle Pierre et Marie Curie,Avenue du Poilu de 14/18,Bourg-de-Péage,26,26300,primaire,45.0333359377784,5.065370297011841,Rue,need_update,
0261016N,Ecole primaire Marcel Pagnol,Avenue Ville de Verbania,Bourg-de-Péage,26,26300,primaire,45.02964032215731,5.060660137684124,Numéro de rue,need_update,
0260164M,Ecole publique Charpey,Place de l'Ancienne Mairie,Charpey,26,26300,primaire,44.93943429247686,5.091260637297195,Ville,need_update,
0260343G,Ecole publique St Mamans,Hameau Saint Mamans,Rochefort-Samson,26,26300,primaire,44.98758311481363,5.167339473013915,Rue,need_update,
1653,MA LES CHATONS CHATEAUNEUF ISE,Rue du moulin 26300 CHATEAUNEUF SUR ISERE,Châteauneuf-sur-Isère,26,26300,crèche,45.0131632107225,4.93022808000265,,need_update,
0260765R,Lycée d'enseignement général et technologique agricole de Bourg-les-Valence,AVENUE DE LYON,Bourg-lès-Valence,26,26500,secondaire,44.95897030643331,4.894880338264217,Numéro de rue,need_update,
1885,MA COULEUR GRENADINE PONT ISER,Avenue DE PROVENCE 26600 PONT DE L'ISERE,Pont-de-l'Isère,26,26600,crèche,45.0046126466163,4.86807516000261,,need_update,
1888,MA LES MARMOTTES ROCHE DE GLUN,Allée Des Milles Fleurs 26600 ROCHE DE GLUN,La Roche-de-Glun,26,26600,crèche,45.0092920083734,4.8479086800026,,need_update,
734,MA LPCR POLYTEC,Rue DES BERGES 38000 GRENOBLE,Grenoble,38,38000,crèche,45.2046939774091,5.70244284000306,,need_update,
701,CC LA FARANDOLE,Allée Ronsard 38130 ECHIROLLES,Echirolles,38,38130,crèche,45.1527197204679,5.70503160000306,,need_update,
0381569Z,Ecole maternelle Auguste Delaune,Rue Jean Henri Fabre,Echirolles,38,38130,primaire,45.13946904965803,5.714300343547781,Numéro de rue,need_update,
0382141W,Ecole maternelle Elsa Triolet,Allée du Gatinais,Echirolles,38,38130,primaire,45.15733908725687,5.720630389767008,Numéro de rue,need_update,
709,HG LES ESSARTS,Place DE LA CONVENTION 38130 ECHIROLLES,Echirolles,38,38130,crèche,45.156518258736,5.71590792000307,,need_update,
707,HG SURIEUX,27 Place BEAUMARCHAIS 38130 ECHIROLLES,Echirolles,38,38130,crèche,45.156557226555,5.72234328000307,,need_update,
702,MA FAMILIAL LES LUTINS,Allée DU BERRY 38130 ECHIROLLES,Echirolles,38,38130,crèche,45.1557930970333,5.72269608000307,,need_update,
0381904N,Section d'enseignement général et professionnel adapté du Collège Jean Vilar,Allée JEAN VILAR,Echirolles,38,38130,,45.156183,5.72973,Rue,need_update,0.8753407675032059
0380067S,Collège Condorcet,Rue DE LA CONTAMINE,Tullins,38,38210,secondaire,45.298475774092225,5.486220580898143,Numéro de rue,need_update,
0380780S,Ecole primaire,Place Joseph Garavel,Morette,38,38210,primaire,45.285289966398324,5.453449937028987,Numéro de rue,need_update,
631,MA MAISON DE LA PETITE ENFANCE,38210 TULLINS,Tullins,38,38210,crèche,45.2786199861195,5.47329780000294,,need_update,
0382922V,Ecole maternelle Maupertuis,Chemin Chalandes,Meylan,38,38240,primaire,45.209778656627506,5.77762003677942,Ville,need_update,
0382921U,Ecole primaire Maupertuis,Place Chalandes,Meylan,38,38240,primaire,45.209778656627506,5.77762003677942,Ville,need_update,
737,MA MAUPERTUIS,Place DES CHALLENDES 38240 MEYLAN,Meylan,38,38240,crèche,45.2136425874204,5.79663612000311,,need_update,
0382591K,Ecole maternelle Linné,Rue Linné,Bourgoin-Jallieu,38,38300,primaire,45.611156,5.270295,Rue,need_update,0.8742582851426038
0380656G,Ecole maternelle Pré Bénit,Rue des Ecoles,Bourgoin-Jallieu,38,38300,primaire,45.59297879605707,5.283820580032706,Numéro de rue,need_update,
0380008C,Lycée général et technologique L'Oiselet,Rue VAUCANSON,Bourgoin-Jallieu,38,38301,secondaire,45.590785,5.271203,Rue,need_update,0.8742578804863059
0382100B,Collège du Grésivaudan,Place DE L'AGORA,Saint-Ismier,38,38330,secondaire,45.241233,5.822015,Rue,need_update,0.8684797729995474
0382091S,Ecole maternelle,Chemin de la Mairie,Saint-Nazaire-les-Eymes,38,38330,primaire,45.24828484802552,5.84992964850237,Numéro de rue,need_update,
0382318N,Ecole primaire Clos Marchand,Avenue de la Dent de Crolles,Saint-Ismier,38,38330,primaire,45.250151375075276,5.830270427557573,Numéro de rue,need_update,
0381105V,Ecole maternelle Vaillant-Couturier,Place du 8 Février 1962,Saint-Martin-d'Hères,38,38400,primaire,45.183534,5.750666,Rue,need_update,0.8756521310281539
0382595P,Ecole primaire Vaillant-Couturier,Place du 8 Février 1962,Saint-Martin-d'Hères,38,38400,primaire,45.18382916033125,5.751450013250283,Numéro de rue,need_update,
0382213Z,Ecole maternelle Paul Eluard,Rue des Ouvriers Papetiers,Moirans,38,38430,primaire,45.326857336528064,5.560489452222685,Numéro de rue,need_update,
0382536A,Ecole primaire Gérard Philipe,Rue des Ouvriers Papetiers,Moirans,38,38430,primaire,45.3271064630379,5.559720557684354,Numéro de rue,need_update,
0383154X,Ecole primaire Simone Veil,Place de l'Assemblée Départementale,Moirans,38,38430,primaire,45.32642214115104,5.56422938476671,Rue,need_update,
7140,MULTI ACCUEIL GRAINES DE GENET,Bourg MAIRIE 63122 SAINT-GENES-CHAMPANELLE,Saint-Genès-Champanelle,63,63122,crèche,45.7204971047176,3.01792860000162,,need_update,
7136,MA LES PETITS LUTINS ROYAT,21 Rue de la Pépinière 63130 ROYAT,Royat,63,63130,crèche,45.7648685322322,3.04678656000164,,need_update,
7133,CRECHE FAMILIALE RIOM,3 Avenue DU 19 MARS 1962 63200 RIOM,Riom,63,63200,crèche,45.8826393944191,3.12964812000168,,need_update,
7134,MULTI ACCUEIL RIOM,5 Rue AMABLE FAUCON 63200 RIOM,Riom,63,63200,crèche,45.8873895709619,3.11166036000167,,need_update,
7145,MA LES PETITS OURSONS,Rue de la Mairie 63230 SAINT-OURS,Saint-Ours,63,63230,crèche,45.8483022817011,2.89614564000155,,need_update,
7125,MC PIONSAT CC,Rue Général De Gaulle 63330 PIONSAT,Pionsat,63,63330,crèche,46.1094256500992,2.69306784000145,,need_update,
7144,MC ST MAURICE PRES PIONSAT CC,63330 SAINT-MAURICE-PRES-PIONSAT,Saint-Maurice-près-Pionsat,63,63330,crèche,46.0700254196677,2.59064892000139,,need_update,
7138,"M.A. ""TIPIPOLE"" ST BEAUZIRE",Rue Blaise Pascal 63360 SAINT-BEAUZIRE,Saint-Beauzire,63,63360,crèche,45.842584995667,3.19709772000172,,need_update,
7141,MC LES PETITS COEURS CC,Rue JULES FERRY 63390 SAINT-GERVAIS-D'AUVERGNE,Saint-Gervais-d'Auvergne,63,63390,crèche,46.0295014265715,2.81378880000151,,need_update,
7131,MULTI ACCUEIL LES P TITS MOMES,48 Route de Volvic 63410 CHARBONNIERES-LES-VARENNES,Charbonnières-les-Varennes,63,63410,crèche,45.8871300890701,2.9843571600016,,need_update,
7132,MULTI ACCUEIL PONT DU CHATEAU,13 Avenue Roger Prat 63430 PONT-DU-CHATEAU,Pont-du-Château,63,63430,crèche,45.801471505091,3.24355464000174,,need_update,
7137,MA LES CHEIR UBINS ST AMANT TD,63450 SAINT-AMANT-TALLENDE,Saint-Amant-Tallende,63,63450,crèche,45.6667645291328,3.10855356000167,,need_update,
7135,MULTI-ACCUEIL CCAS ROMAGNAT,3 Rue des fours-à -chaux 63540 ROMAGNAT,Romagnat,63,63540,crèche,45.727277397009,3.10131756000166,,need_update,
7139,MULTI ACCUEIL LES BOUT'CHOUS,Place DE LA MAIRIE 63700 SAINT-ELOY-LES-MINES,Saint-Eloy-les-Mines,63,63700,crèche,46.1804895566461,2.80805400000151,,need_update,
0741480G,Ecole primaire publique Quai Jules Philippe ANNECY,Quai Jules Philippe,Annecy,74,74000,primaire,45.89983932381032,6.1297498089169915,Numéro de rue,need_update,
0740497N,Ecole élémentaire publique LESCHAUX,Chef Lieu,Leschaux,74,74320,primaire,45.7708954073308,6.124140204662939,Numéro de rue,need_update,
0741109D,Ecole primaire publique Barral Seynod ANNECY,Rue de l'Orme,Annecy,74,74600,primaire,45.89136064950109,6.11232957462918,Numéro de rue,need_update,
0010180R,Ecole élémentaire Jean Moulin,Place des Déportés,Oyonnax,1,1100,primaire,46.257737792120274,5.660459760271131,Numéro de rue,need_update,
